Пример данных.
Описание: первый столбец - данные по оси x, второй столбец - данные по оси y.
x	   y 
0.00000000 0.00000000
0.00628947 0.03172248
0.01257895 0.04486237
0.01886842 0.05494495
0.02515790 0.06344497
0.03144737 0.07093363
0.03773685 0.07770390
0.04402632 0.08392980
0.05031580 0.08972473
0.05660527 0.09516745
0.06289475 0.10031530
0.06918422 0.10521158
0.07547370 0.10988991
0.08176317 0.11437704
0.08805265 0.11869467
0.09434212 0.12286065
0.10063160 0.12688993
0.10692107 0.13079515
0.11321055 0.13458710
0.11950002 0.13827510
0.12578950 0.14186726
0.13207897 0.14537068
0.13836845 0.14879164
0.14465792 0.15213569
0.15094739 0.15540780
0.15723687 0.15861242
0.16352634 0.16175356
0.16981582 0.16483486
0.17610529 0.16785961
0.18239477 0.17083080
0.18868424 0.17375120
0.19497372 0.17662331
0.20126319 0.17944947
0.20755267 0.18223179
0.21384214 0.18497228
0.22013162 0.18767274
0.22642109 0.19033490
0.23271057 0.19296033
0.23900004 0.19555052
0.24528952 0.19810685
0.25157899 0.20063060
0.25786847 0.20312300
0.26415794 0.20558519
0.27044742 0.20801824
0.27673689 0.21042315
0.28302637 0.21280089
0.28931584 0.21515235
0.29560531 0.21747839
0.30189479 0.21977981
0.30818426 0.22205739
0.31447374 0.22431183
0.32076321 0.22654385
0.32705269 0.22875408
0.33334216 0.23094317
0.33963164 0.23311169
0.34592111 0.23526023
0.35221059 0.23738933
0.35850006 0.23949950
0.36478954 0.24159124
0.37107901 0.24366502
0.37736849 0.24572130
0.38365796 0.24776052
0.38994744 0.24978309
0.39623691 0.25178941
0.40252639 0.25377987
0.40881586 0.25575484
0.41510534 0.25771467
0.42139481 0.25965972
0.42768429 0.26159030
0.43397376 0.26350674
0.44026323 0.26540934
0.44655271 0.26729840
0.45284218 0.26917420
0.45913166 0.27103702
0.46542113 0.27288712
0.47171061 0.27472477
0.47800008 0.27655020
0.48428956 0.27836366
0.49057903 0.28016539
0.49686851 0.28195560
0.50315798 0.28373452
0.50944746 0.28550235
0.51573693 0.28725931
0.52202641 0.28900558
0.52831588 0.29074136
0.53460536 0.29246685
0.54089483 0.29418221
0.54718431 0.29588763
0.55347378 0.29758327
0.55976326 0.29926931
0.56605273 0.30094590
0.57234221 0.30261321
0.57863168 0.30427137
0.58492115 0.30592055
0.59121063 0.30756089
0.59750010 0.30919252
0.60378958 0.31081559
0.61007905 0.31243023
0.61636853 0.31403657
0.62265800 0.31563473
0.62894748 0.31722484
0.63523695 0.31880701
0.64152643 0.32038138
0.64781590 0.32194805
0.65410538 0.32350713
0.66039485 0.32505873
0.66668433 0.32660296
0.67297380 0.32813992
0.67926328 0.32966972
0.68555275 0.33119245
0.69184223 0.33270821
0.69813170 0.33421710
0.70442118 0.33571921
0.71071065 0.33721463
0.71700013 0.33870344
0.72328960 0.34018574
0.72957907 0.34166160
0.73586855 0.34313112
0.74215802 0.34459438
0.74844750 0.34605144
0.75473697 0.34750240
0.76102645 0.34894732
0.76731592 0.35038628
0.77360540 0.35181936
0.77989487 0.35324663
0.78618435 0.35466815
0.79247382 0.35608400
0.79876330 0.35749423
0.80505277 0.35889893
0.81134225 0.36029815
0.81763172 0.36169196
0.82392120 0.36308042
0.83021067 0.36446359
0.83650015 0.36584153
0.84278962 0.36721430
0.84907910 0.36858195
0.85536857 0.36994455
0.86165805 0.37130215
0.86794752 0.37265480
0.87423699 0.37400257
0.88052647 0.37534549
0.88681594 0.37668362
0.89310542 0.37801702
0.89939489 0.37934573
0.90568437 0.38066980
0.91197384 0.38198929
0.91826332 0.38330423
0.92455279 0.38461467
0.93084227 0.38592067
0.93713174 0.38722226
0.94342122 0.38851949
0.94971069 0.38981240
0.95600017 0.39110104
0.96228964 0.39238545
0.96857912 0.39366567
0.97486859 0.39494174
0.98115807 0.39621369
0.98744754 0.39748158
0.99373702 0.39874544
1.00002649 0.40000530
1.00631597 0.40126120
1.01260544 0.40251319
1.01889491 0.40376130
1.02518439 0.40500556
1.03147386 0.40624601
1.03776334 0.40748268
1.04405281 0.40871561
1.05034229 0.40994483
1.05663176 0.41117038
1.06292124 0.41239229
1.06921071 0.41361058
1.07550019 0.41482530
1.08178966 0.41603647
1.08807914 0.41724413
1.09436861 0.41844830
1.10065809 0.41964901
1.10694756 0.42084630
1.11323704 0.42204019
1.11952651 0.42323072
1.12581599 0.42441790
1.13210546 0.42560178
1.13839494 0.42678237
1.14468441 0.42795970
1.15097389 0.42913380
1.15726336 0.43030470
1.16355283 0.43147243
1.16984231 0.43263700
1.17613178 0.43379844
1.18242126 0.43495678
1.18871073 0.43611205
1.19500021 0.43726426
1.20128968 0.43841345
1.20757916 0.43955963
1.21386863 0.44070283
1.22015811 0.44184307
1.22644758 0.44298038
1.23273706 0.44411477
1.23902653 0.44524627
1.24531601 0.44637491
1.25160548 0.44750070
1.25789496 0.44862367
1.26418443 0.44974383
1.27047391 0.45086120
1.27676338 0.45197582
1.28305286 0.45308769
1.28934233 0.45419684
